job_key,date_key,technician_key,service_key,customer_key,status,first_time_fix,duration_min,revenue,cost
54,20251205,3,3,36,Completed,1,202,375.82,219.19
55,20251205,16,5,30,Scheduled,0,151,0.0,0.0
56,20251205,6,4,259,Completed,0,199,5916.63,3843.56
57,20251205,5,2,301,Completed,0,127,344.24,173.98
58,20251205,14,4,149,Completed,1,133,5696.19,2720.81
59,20251205,4,5,232,Completed,0,125,491.58,270.43
60,20251205,13,2,6,Completed,1,134,322.4,148.69
61,20251205,5,2,331,Scheduled,0,173,0.0,0.0
62,20251205,16,5,42,Completed,0,121,390.99,236.54
63,20251205,14,6,229,Completed,0,141,274.66,158.83
64,20251206,9,2,302,Scheduled,0,221,0.0,0.0
65,20251206,2,6,97,Completed,0,191,276.0,155.49
66,20251206,9,5,228,Scheduled,0,84,0.0,0.0
67,20251206,12,7,223,Completed,1,194,441.71,261.82
68,20251206,13,5,288,Canceled,0,110,0.0,0.0
69,20251206,7,4,175,Completed,1,174,7216.19,3329.12
70,20251206,11,2,273,Completed,1,176,323.86,200.7
71,20251207,8,5,59,Canceled,0,172,0.0,0.0
72,20251207,11,7,392,Scheduled,0,167,0.0,0.0
73,20251207,6,2,392,Completed,1,156,361.27,179.01
74,20251207,2,2,363,Completed,0,135,376.21,249.86
75,20251208,2,7,91,Completed,1,204,514.35,282.21
76,20251208,9,3,290,Completed,0,180,329.46,169.24
77,20251208,8,3,300,Completed,1,134,398.02,229.58
78,20251208,6,3,205,Completed,1,180,353.27,192.53
79,20251208,7,4,383,Completed,1,207,5617.02,2833.69
80,20251208,7,4,48,Completed,0,160,6145.19,3126.35
81,20251208,6,2,376,Completed,1,192,307.57,190.6
82,20251208,4,6,224,Completed,1,141,294.65,197.65
83,20251208,4,3,146,Completed,0,215,317.4,170.37
84,20251209,4,5,173,Scheduled,0,57,0.0,0.0
85,20251209,11,3,264,Completed,1,145,361.11,176.26
86,20251209,1,1,316,Completed,1,69,167.83,104.75
87,20251209,7,1,231,Completed,1,76,157.6,83.83
88,20251209,4,1,135,Completed,0,30,157.24,74.11
89,20251209,12,7,63,Completed,1,160,512.87,295.74
90,20251209,3,1,204,Completed,1,123,168.59,101.32
91,20251209,11,4,329,Completed,0,185,6511.92,3169.94
92,20251209,5,1,167,Completed,1,148,143.83,93.65
93,20251209,8,6,5,Completed,1,171,245.11,147.8
94,20251209,4,3,304,Completed,1,149,332.46,201.7
95,20251209,9,2,380,Completed,1,144,337.36,220.63
96,20251209,7,6,47,Completed,1,188,270.46,159.23
97,20251209,6,2,269,Scheduled,0,224,0.0,0.0
98,20251209,13,4,345,Completed,0,211,6453.07,3552.78
99,20251209,3,5,177,Completed,1,168,403.51,273.53
100,20251209,7,2,253,Completed,1,156,300.49,199.1
101,20251210,3,6,133,Completed,1,172,280.49,183.12
102,20251210,12,7,20,Completed,1,212,440.4,217.45
103,20251210,6,7,378,Completed,0,230,552.81,370.16
104,20251210,3,7,102,Completed,0,224,530.33,338.92
105,20251210,4,6,259,Completed,1,190,264.01,152.4
106,20251210,14,6,296,Completed,1,264,266.84,168.67
107,20251210,8,4,203,Completed,1,172,5676.38,2965.0
108,20251210,9,4,30,Completed,1,209,6208.75,3664.59
109,20251210,1,6,286,Completed,1,181,247.76,149.51
110,20251210,7,5,380,Completed,1,114,397.03,267.57
111,20251210,4,6,28,Completed,1,147,273.62,159.84
112,20251210,15,4,159,Completed,1,190,5897.82,3751.6
113,20251211,3,1,25,Completed,1,93,148.96,89.15
114,20251211,4,2,387,Scheduled,0,146,0.0,0.0
115,20251211,14,3,130,Completed,1,130,315.28,162.51
116,20251211,2,7,301,Completed,1,191,464.74,252.39
117,20251211,10,6,135,Completed,1,180,291.05,161.26
118,20251211,5,4,341,Completed,1,227,6440.65,4070.95
119,20251211,9,4,366,Canceled,0,163,0.0,0.0
120,20251211,16,7,332,Completed,1,185,573.1,360.45
121,20251211,3,3,283,Completed,1,190,335.14,186.47
122,20251211,12,7,27,Completed,1,203,471.15,239.42
123,20251211,10,3,21,Completed,1,191,340.61,172.33
124,20251212,2,4,274,Scheduled,0,151,0.0,0.0
125,20251212,2,6,164,Completed,0,143,255.67,127.73
126,20251212,12,2,29,Completed,1,166,306.23,175.73
127,20251212,15,6,211,Completed,1,181,250.97,120.43
128,20251212,1,5,77,Canceled,0,98,0.0,0.0
129,20251212,14,2,394,Completed,1,154,361.99,236.18
130,20251212,5,7,341,Completed,1,205,532.76,310.63
131,20251212,16,3,333,Completed,1,140,396.68,185.62
132,20251212,1,1,308,Completed,1,161,151.13,75.09
133,20251212,9,6,156,Completed,1,174,272.01,137.53
134,20251212,10,3,222,Completed,1,188,400.35,221.99
135,20251212,5,6,10,Canceled,0,190,0.0,0.0
136,20251212,13,5,357,Completed,0,158,389.68,180.8
137,20251212,6,1,335,Completed,1,184,168.71,98.59
138,20251212,13,7,119,Scheduled,0,192,0.0,0.0
139,20251213,1,2,128,Completed,0,188,313.63,191.27
140,20251213,9,3,260,Completed,1,233,404.33,192.06
141,20251213,2,1,260,Scheduled,0,126,0.0,0.0
142,20251213,8,2,262,Scheduled,0,177,0.0,0.0
143,20251213,1,7,36,Completed,0,254,575.06,344.26
144,20251213,10,2,334,Completed,1,170,302.14,195.48
145,20251213,6,4,17,Completed,0,211,6453.85,4260.57
146,20251214,3,1,19,Completed,1,145,136.98,79.65
147,20251214,12,1,324,Canceled,0,94,0.0,0.0
148,20251214,11,6,342,Scheduled,0,196,0.0,0.0
149,20251214,10,3,316,Completed,1,173,388.5,243.69
150,20251214,13,3,111,Completed,1,171,345.81,164.22
151,20251215,12,2,178,Completed,1,147,351.34,161.89
152,20251215,13,6,270,Completed,1,176,311.11,152.35
153,20251215,10,1,348,Canceled,0,132,0.0,0.0
154,20251215,8,5,324,Completed,1,108,429.52,195.12
155,20251215,9,4,271,Scheduled,0,199,0.0,0.0
156,20251215,5,3,193,Completed,1,216,369.8,178.67
157,20251215,16,5,320,Completed,1,147,471.33,230.49
158,20251215,10,3,211,Completed,1,189,340.74,197.31
159,20251215,10,4,314,Completed,1,99,6947.67,3742.79
160,20251215,6,1,132,Completed,1,72,151.77,86.46
161,20251215,9,2,395,Scheduled,0,200,0.0,0.0
162,20251215,5,4,5,Completed,0,187,6106.3,3825.64
163,20251215,7,2,392,Completed,1,148,330.93,191.09
164,20251215,6,1,134,Completed,1,102,167.08,100.14
165,20251215,10,3,10,Completed,0,129,341.95,176.44
166,20251215,14,7,287,Completed,1,252,542.36,303.18
167,20251215,14,4,175,Completed,1,155,6361.25,4225.33
168,20251216,6,7,216,Completed,1,202,510.68,305.52
169,20251216,3,7,248,Completed,1,226,540.14,296.62
170,20251216,2,4,346,Completed,0,183,6291.42,4211.87
171,20251216,1,3,170,Completed,1,191,319.74,206.84
172,20251216,11,5,371,Canceled,0,75,0.0,0.0
173,20251216,13,6,107,Completed,1,158,306.43,195.9
174,20251216,5,6,382,Scheduled,0,174,0.0,0.0
175,20251216,11,1,338,Completed,1,44,153.51,82.64
176,20251216,12,4,171,Completed,0,170,5867.98,3348.24
177,20251217,11,3,33,Scheduled,0,240,0.0,0.0
178,20251217,15,7,310,Completed,1,193,527.23,309.77
179,20251217,5,7,297,Completed,1,210,445.26,289.07
180,20251217,7,2,112,Completed,0,192,312.1,144.3
181,20251217,7,4,212,Scheduled,0,127,0.0,0.0
182,20251217,4,3,321,Completed,1,182,387.28,212.18
183,20251217,16,4,143,Completed,0,103,6988.13,4723.65
184,20251217,16,4,110,Completed,1,186,6917.07,3682.09
185,20251217,16,2,180,Completed,1,190,341.71,160.67
186,20251217,3,4,351,Canceled,0,129,0.0,0.0
187,20251217,10,3,146,Completed,1,167,350.88,203.74
188,20251217,1,3,386,Completed,0,155,401.5,188.11
189,20251217,6,5,135,Completed,1,45,410.01,255.51
190,20251217,15,6,352,Completed,1,83,236.33,154.14
191,20251217,9,7,387,Completed,0,186,572.17,364.58
192,20251217,14,6,15,Completed,1,187,283.27,128.76
193,20251218,4,2,400,Completed,1,183,300.67,168.84
194,20251218,1,5,73,Completed,1,82,491.55,254.72
195,20251218,2,1,342,Completed,1,65,158.53,86.18
196,20251218,3,5,122,Completed,1,147,427.2,207.39
197,20251218,9,4,216,Canceled,0,175,0.0,0.0
198,20251218,9,7,123,Completed,0,196,499.94,326.42
199,20251218,8,6,247,Completed,0,198,305.59,142.22
200,20251218,11,5,215,Completed,1,93,438.04,281.79
201,20251218,13,4,389,Completed,1,217,7093.54,3746.83
202,20251218,1,5,129,Completed,1,118,380.33,177.65
203,20251218,7,3,234,Completed,1,182,332.7,197.13
204,20251218,5,4,24,Completed,1,171,6670.39,3789.37
205,20251218,10,5,237,Completed,1,118,442.44,211.23
206,20251218,15,3,288,Completed,1,210,403.22,220.39
207,20251218,11,7,167,Completed,1,167,448.91,202.99
208,20251219,11,7,163,Completed,0,141,445.03,296.21
209,20251219,9,7,305,Completed,1,171,435.8,214.37
210,20251219,11,6,9,Completed,0,144,235.35,150.4
211,20251219,5,7,328,Completed,1,160,548.35,293.21
212,20251219,7,6,9,Completed,0,126,295.54,159.32
213,20251219,11,4,92,Canceled,0,200,0.0,0.0
214,20251219,12,4,10,Completed,1,186,6074.04,3196.33
215,20251219,3,6,362,Completed,1,183,238.43,145.42
216,20251219,10,4,192,Completed,1,128,5967.85,3561.44
217,20251219,5,1,39,Completed,0,138,168.95,99.62
218,20251219,14,5,118,Canceled,0,108,0.0,0.0
219,20251219,12,4,47,Completed,0,134,7370.65,4920.36
220,20251219,7,1,309,Completed,1,70,164.23,85.07
221,20251220,11,5,99,Completed,0,187,401.23,242.48
222,20251220,8,1,379,Completed,0,117,161.43,109.01
223,20251220,10,7,266,Completed,1,160,534.5,336.92
224,20251220,12,1,174,Scheduled,0,130,0.0,0.0
225,20251220,15,6,175,Completed,1,152,262.82,155.47
226,20251220,2,2,278,Canceled,0,193,0.0,0.0
227,20251220,7,6,55,Scheduled,0,175,0.0,0.0
228,20251220,13,2,212,Completed,0,151,324.16,157.39
229,20251221,4,3,118,Completed,0,172,315.18,175.3
230,20251221,6,3,335,Completed,1,146,387.42,182.71
231,20251221,4,3,324,Completed,0,158,398.38,212.98
232,20251221,4,1,128,Completed,1,96,167.09,82.12
233,20251221,16,7,303,Scheduled,0,195,0.0,0.0
234,20251221,9,6,306,Completed,1,148,307.52,188.26
235,20251221,5,1,212,Completed,1,208,140.4,85.26
236,20251222,8,4,115,Completed,1,134,7353.23,4826.21
237,20251222,14,2,191,Completed,1,102,348.66,162.47
238,20251222,4,7,268,Completed,1,222,511.84,245.87
239,20251222,3,7,328,Completed,1,144,552.79,315.25
240,20251222,1,3,175,Completed,0,176,403.12,229.8
241,20251222,14,3,75,Completed,1,176,327.77,186.05
242,20251222,8,5,325,Completed,0,96,382.86,181.17
243,20251222,16,7,67,Completed,1,215,556.65,308.19
244,20251222,16,2,233,Completed,1,172,371.9,201.93
245,20251222,6,6,201,Scheduled,0,178,0.0,0.0
246,20251222,11,5,277,Completed,1,100,450.96,277.72
247,20251223,3,7,49,Completed,1,146,572.8,311.46
248,20251223,6,4,149,Completed,1,188,7375.65,4592.46
249,20251223,3,7,89,Completed,1,183,511.44,295.16
250,20251223,6,7,158,Completed,1,202,562.97,281.51
251,20251223,7,1,311,Completed,1,182,148.17,99.81
252,20251223,7,7,80,Completed,1,195,447.12,286.89
253,20251223,10,2,272,Scheduled,0,183,0.0,0.0
254,20251223,11,4,141,Scheduled,0,229,0.0,0.0
255,20251223,5,4,171,Canceled,0,186,0.0,0.0
256,20251224,11,6,61,Completed,1,184,266.72,173.49
257,20251224,4,6,37,Completed,1,137,287.5,170.18
258,20251224,3,5,123,Canceled,0,96,0.0,0.0
259,20251224,13,1,289,Completed,0,100,139.1,63.48
260,20251224,2,5,278,Completed,1,83,403.8,274.3
261,20251224,4,1,116,Completed,1,122,149.98,79.08
262,20251224,15,2,263,Completed,1,190,299.95,172.0
263,20251224,16,2,376,Scheduled,0,246,0.0,0.0
264,20251224,9,7,328,Completed,1,177,524.52,237.74
265,20251224,1,7,264,Completed,1,218,432.83,206.14
266,20251225,15,7,254,Completed,1,135,561.53,347.54
267,20251225,9,6,251,Canceled,0,97,0.0,0.0
268,20251225,15,4,240,Completed,0,223,6517.17,3597.16
269,20251225,5,5,146,Scheduled,0,109,0.0,0.0
270,20251225,7,1,116,Canceled,0,120,0.0,0.0
271,20251225,12,6,70,Completed,1,219,279.87,157.75
272,20251225,7,3,347,Completed,0,210,363.4,171.3
273,20251225,11,1,355,Canceled,0,124,0.0,0.0
274,20251225,2,7,149,Completed,0,158,485.26,286.15
275,20251225,15,1,264,Completed,1,43,154.01,71.82
276,20251225,10,2,27,Completed,1,177,304.4,174.48
277,20251225,3,3,203,Completed,0,247,324.36,202.94
278,20251225,12,2,317,Completed,1,179,357.51,239.68
279,20251225,13,7,102,Completed,0,143,490.79,232.56
280,20251225,14,2,28,Completed,0,171,343.27,162.08
281,20251225,1,3,213,Canceled,0,163,0.0,0.0
282,20251226,1,4,342,Scheduled,0,174,0.0,0.0
283,20251226,15,2,187,Completed,1,192,353.66,191.84
284,20251226,1,4,317,Completed,1,243,6005.59,2954.07
285,20251226,10,7,298,Scheduled,0,161,0.0,0.0
286,20251226,12,5,167,Completed,0,95,469.99,246.1
287,20251226,10,4,283,Completed,1,145,5866.68,3972.8
288,20251226,13,4,388,Completed,1,140,7021.1,3980.57
289,20251226,1,4,216,Completed,1,201,7421.51,3369.31
290,20251226,6,5,230,Completed,1,116,486.22,297.34
291,20251226,11,7,333,Completed,1,157,446.89,266.85
292,20251226,15,3,180,Completed,1,197,367.86,226.94
293,20251226,12,6,314,Completed,1,175,276.76,127.68
294,20251227,2,4,313,Completed,1,126,7026.28,3190.04
295,20251227,7,5,183,Completed,1,138,463.79,262.42
296,20251227,6,2,86,Completed,0,144,340.67,199.19
297,20251227,15,4,285,Completed,1,186,6494.54,3868.26
298,20251227,11,5,72,Scheduled,0,140,0.0,0.0
299,20251228,13,3,136,Completed,1,190,407.13,190.84
300,20251228,6,3,247,Completed,1,187,374.84,188.17
301,20251229,13,5,362,Completed,1,95,411.9,235.86
302,20251229,6,4,136,Completed,1,200,6907.66,3657.99
303,20251229,9,7,176,Canceled,0,146,0.0,0.0
304,20251229,5,2,312,Completed,1,202,336.55,226.22
305,20251229,7,6,84,Completed,0,210,244.36,114.14
306,20251229,8,7,111,Completed,0,151,434.84,196.17
307,20251229,4,3,303,Completed,1,172,365.37,214.22
308,20251229,4,7,243,Completed,1,193,571.08,297.34
309,20251229,3,5,22,Completed,1,144,428.65,286.02
310,20251229,14,6,71,Canceled,0,178,0.0,0.0
311,20251229,4,5,7,Completed,1,45,396.34,191.64
312,20251229,12,7,102,Scheduled,0,188,0.0,0.0
313,20251229,8,5,146,Completed,1,79,447.33,285.95
314,20251229,12,3,119,Completed,0,154,365.65,245.34
315,20251229,15,1,159,Completed,1,145,157.04,90.72
316,20251229,5,3,37,Completed,1,189,313.31,154.28
317,20251229,3,4,1,Completed,0,181,6318.39,3149.64
318,20251230,13,4,11,Scheduled,0,168,0.0,0.0
319,20251230,5,3,13,Completed,1,192,315.57,157.3
320,20251230,12,1,121,Canceled,0,48,0.0,0.0
321,20251230,12,6,21,Completed,1,175,270.14,147.45
322,20251230,8,1,184,Completed,1,125,158.63,93.46
323,20251230,6,1,122,Canceled,0,160,0.0,0.0
324,20251230,6,4,99,Completed,0,181,5655.93,2796.58
325,20251230,5,3,15,Completed,0,137,360.93,197.56
326,20251230,11,1,51,Canceled,0,146,0.0,0.0
327,20251230,11,5,124,Completed,1,66,440.94,213.15
328,20251230,16,1,89,Completed,1,84,137.67,91.51
329,20251230,10,1,2,Completed,1,103,172.12,102.82
330,20251230,8,3,254,Completed,0,148,312.79,142.58
331,20251231,5,4,234,Canceled,0,222,0.0,0.0
332,20251231,8,3,382,Completed,0,132,392.56,204.63
333,20251231,14,5,214,Canceled,0,121,0.0,0.0
334,20251231,9,5,74,Completed,0,176,385.21,225.96
335,20251231,11,5,35,Scheduled,0,37,0.0,0.0
336,20251231,14,6,115,Completed,1,210,261.51,124.08
337,20251231,10,2,159,Completed,1,201,382.36,177.98
338,20251231,8,6,64,Completed,0,155,286.66,179.22
339,20251231,4,2,40,Scheduled,0,138,0.0,0.0
340,20251231,5,2,296,Completed,1,165,309.93,157.37
341,20251231,3,1,185,Scheduled,0,142,0.0,0.0
342,20251231,5,3,326,Completed,0,107,323.6,191.81
343,20251231,4,3,346,Completed,1,91,334.24,210.79
344,20251231,14,7,238,Completed,1,168,462.77,243.98
345,20251231,4,4,210,Completed,1,149,6406.21,3548.93
346,20251231,14,6,281,Completed,1,183,287.83,175.81
347,20260101,12,3,29,Canceled,0,121,0.0,0.0
348,20260101,14,4,108,Completed,1,170,7146.82,4769.48
349,20260101,16,3,104,Completed,0,204,327.62,151.46
350,20260101,1,6,120,Completed,1,160,271.91,127.31
351,20260101,15,6,390,Completed,0,163,278.59,178.13
352,20260101,16,7,1,Completed,1,185,530.69,286.21
353,20260101,1,4,157,Completed,0,165,6181.42,2819.69
354,20260101,1,5,32,Completed,1,114,396.6,260.55
355,20260101,16,5,260,Completed,0,122,441.11,211.34
356,20260101,9,6,294,Completed,1,119,258.6,163.53
357,20260101,16,2,82,Completed,1,188,357.38,187.81
358,20260101,9,5,40,Completed,1,110,463.57,257.81
359,20260101,4,5,38,Canceled,0,153,0.0,0.0
360,20260101,1,2,335,Completed,1,162,291.69,189.85
361,20260101,15,3,174,Completed,0,72,370.47,194.9
362,20260101,7,7,5,Completed,1,97,570.52,278.36
363,20260101,5,1,158,Completed,0,109,172.88,103.61
364,20260101,6,2,387,Completed,1,137,312.25,173.08
365,20260101,15,3,184,Completed,1,198,347.94,187.02
366,20260102,14,1,112,Scheduled,0,93,0.0,0.0
367,20260102,9,3,268,Scheduled,0,259,0.0,0.0
368,20260102,13,1,105,Completed,1,140,169.53,77.68
369,20260102,7,2,333,Canceled,0,196,0.0,0.0
370,20260102,3,1,392,Canceled,0,98,0.0,0.0
371,20260102,4,1,170,Completed,1,92,164.46,110.04
372,20260102,5,3,393,Scheduled,0,162,0.0,0.0
373,20260102,16,1,239,Scheduled,0,133,0.0,0.0
374,20260102,12,1,59,Completed,1,132,159.16,73.08
375,20260102,7,4,211,Completed,1,197,6696.79,3839.2
376,20260102,8,3,109,Canceled,0,161,0.0,0.0
377,20260102,2,6,148,Completed,1,234,242.8,128.31
378,20260102,9,7,355,Completed,1,195,477.41,267.78
379,20260102,2,3,212,Completed,0,154,309.94,210.75
380,20260102,6,2,228,Completed,1,187,294.02,186.01
381,20260102,4,2,305,Completed,1,154,322.8,187.3
382,20260102,9,3,143,Completed,1,208,351.42,198.87
383,20260102,1,3,73,Completed,1,177,313.21,175.68
384,20260102,16,1,305,Completed,1,123,137.85,66.86
385,20260102,9,2,321,Completed,1,139,314.28,172.56
386,20260102,13,5,116,Completed,1,113,475.17,242.97
387,20260102,1,6,269,Completed,1,201,243.17,123.29
388,20260103,4,5,5,Scheduled,0,116,0.0,0.0
389,20260103,10,6,320,Completed,1,215,265.09,122.47
390,20260103,8,6,312,Canceled,0,227,0.0,0.0
391,20260103,12,3,45,Completed,1,168,354.27,192.51
392,20260103,8,4,248,Completed,1,203,7206.32,3868.2
393,20260104,15,5,188,Completed,1,146,385.35,257.0
394,20260105,7,5,344,Completed,1,132,403.98,223.99
395,20260105,7,5,301,Completed,0,89,381.39,177.15
396,20260105,10,5,268,Completed,0,69,472.69,274.87
397,20260105,8,3,82,Canceled,0,192,0.0,0.0
398,20260105,10,7,139,Completed,1,218,535.15,297.2
399,20260105,2,4,63,Completed,1,196,7045.6,3435.88
400,20260105,4,5,56,Completed,1,112,481.93,284.66
401,20260105,8,7,308,Completed,1,191,522.74,314.33
402,20260105,11,3,5,Completed,0,188,332.17,173.07
403,20260105,12,7,319,Completed,1,172,507.54,314.26
404,20260105,6,2,200,Completed,0,131,373.02,169.99
405,20260105,3,5,255,Canceled,0,103,0.0,0.0
406,20260105,15,7,319,Completed,1,216,448.51,283.5
407,20260105,4,1,101,Completed,1,139,169.47,97.9
408,20260106,11,6,6,Scheduled,0,136,0.0,0.0
409,20260106,3,5,236,Canceled,0,87,0.0,0.0
410,20260106,6,3,18,Completed,1,181,389.41,222.65
411,20260106,2,7,276,Completed,1,197,450.01,228.69
412,20260106,6,1,256,Scheduled,0,116,0.0,0.0
413,20260106,11,6,43,Completed,1,186,279.1,151.43
414,20260106,13,2,222,Completed,1,181,356.87,175.56
415,20260106,15,1,340,Completed,1,66,165.12,104.77
416,20260106,5,2,313,Completed,1,182,318.33,198.4
417,20260106,9,6,72,Completed,1,170,275.19,162.12
418,20260106,16,4,220,Scheduled,0,160,0.0,0.0
419,20260106,6,2,19,Completed,1,177,347.16,174.53
420,20260106,5,1,58,Completed,1,142,173.12,91.79
421,20260106,4,5,42,Completed,0,168,461.67,217.2
422,20260106,12,6,142,Completed,1,145,270.76,146.28
423,20260106,3,1,101,Completed,1,142,145.14,98.65
424,20260106,12,3,380,Completed,1,203,322.08,183.62
425,20260106,1,3,64,Completed,1,148,400.16,238.15
426,20260107,10,1,181,Completed,0,30,167.42,105.77
427,20260107,6,3,154,Completed,1,202,396.9,199.08
428,20260107,8,4,3,Completed,0,161,5672.53,3776.27
429,20260107,3,4,112,Completed,1,164,6431.51,4033.91
430,20260107,12,1,71,Completed,0,138,173.0,90.89
431,20260107,3,2,94,Completed,1,149,288.32,151.08
432,20260107,8,5,345,Completed,1,158,483.13,269.32
433,20260107,4,6,397,Scheduled,0,229,0.0,0.0
434,20260107,10,6,200,Completed,1,211,297.51,194.31
435,20260107,14,2,362,Scheduled,0,238,0.0,0.0
436,20260107,5,3,14,Completed,1,230,354.44,182.55
437,20260107,5,5,321,Completed,1,94,403.97,183.71
438,20260107,7,5,247,Completed,1,48,443.96,257.02
439,20260107,10,4,162,Completed,0,197,7299.77,3712.15
440,20260107,10,3,203,Completed,1,202,341.99,201.54
441,20260107,16,2,294,Completed,0,165,366.31,231.65
442,20260107,4,7,22,Completed,1,238,560.56,269.68
443,20260107,13,1,327,Completed,0,113,162.74,80.73
444,20260107,14,6,255,Completed,1,235,289.9,193.51
445,20260107,1,3,278,Completed,1,159,313.22,180.7
446,20260107,8,2,171,Canceled,0,184,0.0,0.0
447,20260107,14,1,70,Completed,1,108,164.11,83.11
448,20260108,14,4,239,Completed,1,192,6080.32,3332.11
449,20260108,7,6,174,Completed,1,153,243.21,119.86
450,20260108,8,5,168,Completed,0,99,389.63,219.53
451,20260108,4,5,380,Completed,1,178,489.01,227.28
452,20260108,16,5,163,Completed,1,86,443.75,252.12
453,20260108,8,7,198,Completed,1,201,525.76,262.51
454,20260108,2,6,85,Completed,1,139,290.82,191.67
455,20260108,4,5,351,Completed,0,96,458.27,264.52
456,20260108,7,3,239,Completed,1,156,323.25,203.71
457,20260108,5,4,84,Completed,1,214,6320.09,3274.2
458,20260108,14,7,294,Completed,1,232,515.05,332.38
459,20260108,6,7,337,Canceled,0,195,0.0,0.0
460,20260108,11,2,399,Completed,0,207,354.05,161.38
461,20260108,6,1,319,Completed,0,124,174.22,91.44
462,20260108,12,6,134,Completed,1,160,255.61,171.38
463,20260108,12,2,255,Completed,1,198,306.46,189.48
464,20260108,8,6,317,Completed,0,145,288.13,151.7
465,20260108,14,5,114,Scheduled,0,113,0.0,0.0
466,20260109,6,6,304,Completed,1,149,258.94,138.67
467,20260109,16,7,160,Completed,1,181,560.0,255.16
468,20260109,6,4,260,Completed,1,177,7366.86,3588.96
469,20260109,7,4,241,Completed,1,186,7238.36,3656.52
470,20260109,4,2,256,Completed,1,162,326.0,197.77
471,20260109,10,1,53,Completed,1,143,170.08,87.19
472,20260109,8,7,159,Completed,1,169,565.86,281.74
473,20260109,11,5,389,Canceled,0,56,0.0,0.0
474,20260109,16,5,19,Completed,0,114,382.94,222.61
475,20260109,2,1,49,Completed,1,127,145.46,90.58
476,20260109,9,1,216,Completed,1,88,177.76,85.28
477,20260109,9,4,44,Completed,1,208,6442.23,3551.79
478,20260109,9,2,299,Completed,1,205,380.07,177.06
479,20260109,15,3,310,Scheduled,0,181,0.0,0.0
480,20260109,1,3,51,Completed,1,186,322.23,193.98
481,20260109,9,6,51,Scheduled,0,112,0.0,0.0
482,20260109,7,7,302,Completed,1,242,492.35,288.48
483,20260109,4,5,250,Scheduled,0,111,0.0,0.0
484,20260109,11,6,27,Completed,1,214,302.14,147.74
485,20260109,1,4,269,Completed,1,199,5975.53,3073.62
486,20260109,5,6,132,Completed,1,178,257.85,168.91
487,20260109,11,4,221,Scheduled,0,135,0.0,0.0
